name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ingredient_count,total_time,difficulty,time_category,ingredient_list,search_text
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,punjab,north,5,60,4.7,slow,"['paneer', 'whipping cream', 'garam masala', 'cashew nuts', 'butter']","paneer butter masala paneer, whipping cream, garam masala, cashew nuts, butter punjab spicy"
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,punjab,north,5,60,4.7,slow,"['paneer', 'greek yogurt', 'tandoori masala', 'cream', 'bell pepper']","paneer tikka masala paneer, greek yogurt, tandoori masala, cream, bell pepper punjab spicy"
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,pan-india,multi-regional,5,17,2.5,quick,"['kala chana', 'mashed potato', 'boondi', 'sev', 'lemon']","pani puri kala chana, mashed potato, boondi, sev, lemon pan-india spicy"
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,uttar pradesh,multi-regional,5,35,3.4,medium,"['whole wheat flour', 'musk melon seeds', 'poppy seeds', 'edible gum', 'semolina']","panjeeri whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina uttar pradesh sweet"
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,pan-india,multi-regional,4,10,1.8,quick,"['urad dal', 'sev', 'lemon juice', 'chopped tomatoes']","papad urad dal, sev, lemon juice, chopped tomatoes pan-india spicy"
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,punjab,north,4,60,4.3,slow,"['wheat flour', 'butter', 'potato', 'coriander']","paratha wheat flour, butter, potato, coriander punjab spicy"
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,rajasthan,west,5,40,3.7,medium,"['arbi ke patte', 'sesame seeds', 'gur', 'bengal gram flour', 'imli']","pattor arbi ke patte, sesame seeds, gur, bengal gram flour, imli rajasthan spicy"
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,punjab,north,5,620,10,slow,"['fennel', 'tea bags', 'tomato', 'kasuri methi', 'cinnamon']","pindi chana fennel, tea bags, tomato, kasuri methi, cinnamon punjab spicy"
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,pan-india,north,5,105,6.9,slow,"['red kidney beans', 'garam masala powder', 'ginger', 'tomato', 'mustard oil']","rajma chaval red kidney beans, garam masala powder, ginger, tomato, mustard oil pan-india spicy"
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,balanced,main course,punjab,north,5,40,3.7,medium,"['garam masala powder', 'tomato', 'kasuri methi', 'cinnamon', 'mustard oil']","rongi garam masala powder, tomato, kasuri methi, cinnamon, mustard oil punjab balanced"
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,pan-india,multi-regional,5,60,4.7,slow,"['potatoes', 'green peas', 'garam masala', 'ginger', 'dough']","samosa potatoes, green peas, garam masala, ginger, dough pan-india spicy"
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,bihar,north,5,30,3.2,medium,"['sattu', 'atta', 'dough', 'filling', 'mustard oil']","sattu ki roti sattu, atta, dough, filling, mustard oil bihar spicy"
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,punjab,north,5,60,4.7,slow,"['cottage cheese', 'malai', 'garam masala', 'ginger', 'tomato']","shahi paneer cottage cheese, malai, garam masala, ginger, tomato punjab spicy"
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,telangana,south,5,40,3.7,medium,"['rose water', 'milk', 'white bread slices', 'saffron', 'almonds']","shahi tukra rose water, milk, white bread slices, saffron, almonds telangana sweet"
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,punjab,north,5,40,3.7,medium,"['baby corn', 'french beans', 'garam masala', 'ginger', 'carrot']","vegetable jalfrezi baby corn, french beans, garam masala, ginger, carrot punjab spicy"
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,punjab,north,5,270,10,slow,"['greek yogurt', 'garam masala', 'kasuri methi', 'marinade', 'mustard oil']","tandoori chicken greek yogurt, garam masala, kasuri methi, marinade, mustard oil punjab spicy"
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,punjab,north,5,270,10,slow,"['chickpea flour', 'biryani masala powder', 'yogurt', 'fish fillets', 'green bell pepper']","tandoori fish tikka chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper punjab spicy"
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,andhra pradesh,south,5,175,10,slow,"['whole wheat flour', 'arhar dal', 'ginger', 'kala jeera', 'green chilli']","attu whole wheat flour, arhar dal, ginger, kala jeera, green chilli andhra pradesh spicy"
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,kerala,south,5,75,5.4,slow,"['raw banana', 'elephant foot yam', 'long beans', 'tindora', 'urad dal']","avial raw banana, elephant foot yam, long beans, tindora, urad dal kerala spicy"
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,karnataka,south,5,75,5.4,slow,"['split pigeon peas', 'chana dal', 'urad dal', 'green peas', 'french beans']","bisi bele bath split pigeon peas, chana dal, urad dal, green peas, french beans karnataka spicy"
Currivepillai sadam,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,tamil nadu,south,5,30,3.2,medium,"['chana dal', 'urad dal', 'fresh coconut', 'sesame seeds', 'curry leaves']","currivepillai sadam chana dal, urad dal, fresh coconut, sesame seeds, curry leaves tamil nadu spicy"
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,pan-india,south,5,450,10,slow,"['chana dal', 'urad dal', 'whole urad dal', 'blend rice', 'rock salt']","dosa chana dal, urad dal, whole urad dal, blend rice, rock salt pan-india spicy"
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,tamil nadu,south,3,150,8.5,slow,"['rice flour', 'hot water', 'grated coconut']","idiappam rice flour, hot water, grated coconut tamil nadu spicy"
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,pan-india,south,5,450,10,slow,"['split urad dal', 'urad dal', 'idli rice', 'thick poha', 'rock salt']","idli split urad dal, urad dal, idli rice, thick poha, rock salt pan-india spicy"
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,balanced,snack,kerala,south,4,55,4.1,medium,"['carrot', 'yellow mustard', 'red chilli', 'black salt']","kanji carrot, yellow mustard, red chilli, black salt kerala balanced"
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,10,30,spicy,main course,tamil nadu,south,5,40,3.7,medium,"['sesame oil', 'drumstick', 'tamarind paste', 'sambar powder', 'tomato']","kaara kozhambu sesame oil, drumstick, tamarind paste, sambar powder, tomato tamil nadu spicy"
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,tamil nadu,south,5,50,4.2,medium,"['moong dal', 'chana dal', 'spinach', 'urad dal', 'coconut oil']","keerai kootu moong dal, chana dal, spinach, urad dal, coconut oil tamil nadu spicy"
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,10,30,spicy,main course,tamil nadu,south,5,40,3.7,medium,"['urad dal', 'curry leaves', 'sugar', 'mustard seeds', 'spinach']","keerai masiyal urad dal, curry leaves, sugar, mustard seeds, spinach tamil nadu spicy"
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,tamil nadu,south,4,30,2.8,medium,"['greens', 'tomato', 'mustard seeds', 'fenugreek seeds']","keerai sadam greens, tomato, mustard seeds, fenugreek seeds tamil nadu spicy"
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,tamil nadu,south,5,50,4.2,medium,"['amaranth leaves', 'split urad dal', 'mustard seeds', 'grated coconut', 'red chili']","keerai poriyal amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili tamil nadu spicy"
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,kerala,south,6,70,5.5,slow,"['beef', 'coconut', 'garam masala', 'curry leaves', 'green chilies', 'chili powder']","beef fry beef, coconut, garam masala, curry leaves, green chilies, chili powder kerala spicy"
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,tamil nadu,south,5,25,2.9,quick,"['chana dal', 'urad dal', 'potato', 'beans', 'peas']","kootu chana dal, urad dal, potato, beans, peas tamil nadu spicy"
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,tamil nadu,south,5,30,3.2,medium,"['moong dal', 'chana dal', 'cabbage', 'tamarind', 'curry leaves']","kos kootu moong dal, chana dal, cabbage, tamarind, curry leaves tamil nadu spicy"
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,karnataka,south,5,30,3.2,medium,"['moong dal', 'cucumber', 'curry leaves', 'green chili', 'lemon juice']","koshambri moong dal, cucumber, curry leaves, green chili, lemon juice karnataka spicy"
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,tamil nadu,south,5,30,3.2,medium,"['chana dal', 'urad dal', 'gooseberry', 'raw rice', 'curry leaves']","kothamali sadam chana dal, urad dal, gooseberry, raw rice, curry leaves tamil nadu spicy"
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,tamil nadu,south,4,100,6.3,slow,"['sesame oil', 'raw rice', 'jaggery', 'grated coconut']","kuzhakkattai sesame oil, raw rice, jaggery, grated coconut tamil nadu spicy"
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,tamil nadu,south,5,35,3.4,medium,"['pearl onions', 'urad dal', 'drumsticks', 'tomato', 'curry leaves']","kuzhambu pearl onions, urad dal, drumsticks, tomato, curry leaves tamil nadu spicy"
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,pan-india,south,5,450,10,slow,"['chana dal', 'urad dal', 'potatoes', 'idli rice', 'thick poha']","masala dosa chana dal, urad dal, potatoes, idli rice, thick poha pan-india spicy"
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,balanced,main course,pan-india,south,5,35,3.4,medium,"['coconut oil', 'cucumber', 'curd', 'curry leaves', 'mustard seeds']","pachadi coconut oil, cucumber, curd, curry leaves, mustard seeds pan-india balanced"
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,balanced,main course,tamil nadu,south,5,30,3.2,medium,"['yogurt', 'ginger', 'curry leaves', 'baking soda', 'green chilli']","paniyaram yogurt, ginger, curry leaves, baking soda, green chilli tamil nadu balanced"
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,kerala,south,3,10,1.5,quick,"['lentils', 'black pepper', 'vegetable oil']","papadum lentils, black pepper, vegetable oil kerala spicy"
Paravannam,"Raw rice,  jaggery, milk",vegetarian,10,30,spicy,main course,kerala,south,3,40,3,medium,"['raw rice', 'jaggery', 'milk']","paravannam raw rice,  jaggery, milk kerala spicy"
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,pan-india,south,5,45,3.9,medium,"['rice', 'cashew nuts', 'milk', 'raisins', 'sugar']","payasam rice, cashew nuts, milk, raisins, sugar pan-india sweet"
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,balanced,main course,tamil nadu,south,5,30,3.2,medium,"['arhar dal', 'sambar powder', 'tomato', 'curry leaves', 'fennel seeds']","paruppu sadam arhar dal, sambar powder, tomato, curry leaves, fennel seeds tamil nadu balanced"
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,andhra pradesh,south,2,140,7.7,slow,"['green moong beans', 'rice flour']","pesarattu green moong beans, rice flour andhra pradesh spicy"
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,10,30,spicy,main course,tamil nadu,south,5,40,3.7,medium,"['chana dal', 'urad dal', 'beans', 'coconut', 'mustard']","poriyal chana dal, urad dal, beans, coconut, mustard tamil nadu spicy"
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,balanced,main course,tamil nadu,south,5,30,3.2,medium,"['urad dal', 'lemon', 'tamarind', 'cooked rice', 'curry leaves']","puli sadam urad dal, lemon, tamarind, cooked rice, curry leaves tamil nadu balanced"
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,pan-india,south,5,45,3.9,medium,"['tomato', 'curry leaves', 'garlic', 'mustard seeds', 'hot water']","rasam tomato, curry leaves, garlic, mustard seeds, hot water pan-india spicy"
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,balanced,main course,kerala,south,3,535,10,slow,"['brown rice flour', 'sugar', 'grated coconut']","puttu brown rice flour, sugar, grated coconut kerala balanced"
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,pan-india,south,5,65,4.9,slow,"['pigeon peas', 'eggplant', 'drumsticks', 'sambar powder', 'tamarind']","sambar pigeon peas, eggplant, drumsticks, sambar powder, tamarind pan-india spicy"
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,balanced,main course,karnataka,south,3,180,10,slow,"['thin rice flakes', 'black sesame seeds', 'curry leaves']","sandige thin rice flakes, black sesame seeds, curry leaves karnataka balanced"
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,balanced,main course,pan-india,south,3,150,8.5,slow,"['sevai', 'parboiled rice', 'steamer']","sevai sevai, parboiled rice, steamer pan-india balanced"
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,balanced,main course,tamil nadu,south,6,30,3.5,medium,"['urad dal', 'curd', 'sesame oil', 'ginger', 'curry leaves', 'mustard seeds']","thayir sadam urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds tamil nadu balanced"
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,balanced,main course,kerala,south,5,35,3.4,medium,"['coconut', 'whole red beans', 'masala', 'sesame oil', 'tamarind']","theeyal coconut, whole red beans, masala, sesame oil, tamarind kerala balanced"
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,pan-india,south,5,30,3.2,medium,"['chana dal', 'urad dal', 'thick poha', 'tomato', 'butter']","uttapam chana dal, urad dal, thick poha, tomato, butter pan-india spicy"
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,pan-india,south,5,35,3.4,medium,"['urad dal', 'ginger', 'curry leaves', 'green chilies', 'black pepper']","vada urad dal, ginger, curry leaves, green chilies, black pepper pan-india spicy"
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,spicy,main course,tamil nadu,south,5,45,3.9,medium,"['meat curry powder', 'chicken chunks', 'ginger', 'tomato', 'cinnamon']","chicken varuval meat curry powder, chicken chunks, ginger, tomato, cinnamon tamil nadu spicy"
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,pan-india,multi-regional,5,30,3.2,medium,"['chana dal', 'urad dal', 'ginger', 'curry leaves', 'sugar']","upma chana dal, urad dal, ginger, curry leaves, sugar pan-india spicy"
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,maharashtra,west,5,55,4.4,medium,"['kala masala', 'arhar dal', 'curry leaves', 'mustard seeds', 'hot water']","amti kala masala, arhar dal, curry leaves, mustard seeds, hot water maharashtra spicy"
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,maharashtra,west,5,35,3.4,medium,"['gram flour', 'mustard', 'garlic', 'turmeric', 'red chilli']","zunka gram flour, mustard, garlic, turmeric, red chilli maharashtra spicy"
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,10,30,spicy,main course,maharashtra,west,5,40,3.7,medium,"['baingan', 'fish', 'coconut oil', 'fresh coconut', 'ginger']","kolim jawla baingan, fish, coconut oil, fresh coconut, ginger maharashtra spicy"
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,gujarat,west,4,60,4.3,slow,"['urad dal', 'potatoes', 'wheat flour', 'sooji']","saath urad dal, potatoes, wheat flour, sooji gujarat spicy"
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,gujarat,west,3,20,2,quick,"['wheat flour', 'pearl millet flour', 'hot water']","bajri no rotlo wheat flour, pearl millet flour, hot water gujarat spicy"
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,maharashtra,west,5,50,4.2,medium,"['condensed milk', 'mawa', 'desiccated coconut', 'almonds', 'cashews']","coconut vadi condensed milk, mawa, desiccated coconut, almonds, cashews maharashtra sweet"
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,balanced,main course,maharashtra,west,2,45,2.9,medium,"['jowar flour', 'sesame seeds']","bhakri jowar flour, sesame seeds maharashtra balanced"
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,10,30,spicy,main course,maharashtra,west,5,40,3.7,medium,"['bombay duck', 'malvani masala', 'rice flour', 'bombay rava', 'green chilies']","bombil fry bombay duck, malvani masala, rice flour, bombay rava, green chilies maharashtra spicy"
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,maharashtra,west,5,50,4.2,medium,"['rice flour', 'sesame', 'plain flour', 'turmeric', 'red chilli']","chakali rice flour, sesame, plain flour, turmeric, red chilli maharashtra spicy"
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,gujarat,west,5,50,4.2,medium,"['citric acid', 'fry', 'raisins', 'sugar', 'chana daal']","chevdo citric acid, fry, raisins, sugar, chana daal gujarat spicy"
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,gujarat,west,5,20,2.7,quick,"['urad dal', 'bengal gram flour', 'dried mango', 'baking soda', 'black salt']","chorafali urad dal, bengal gram flour, dried mango, baking soda, black salt gujarat spicy"
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,balanced,main course,gujarat,west,5,50,4.2,medium,"['condensed milk', 'nestle cream', 'coconut ice', 'red food coloring', 'desiccated coconut']","copra paak condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut gujarat balanced"
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,gujarat,west,5,50,4.2,medium,"['whole wheat flour', 'dal', 'kokum', 'gur', 'bengal gram flour']","daal dhokli whole wheat flour, dal, kokum, gur, bengal gram flour gujarat spicy"
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,gujarat,west,5,40,3.7,medium,"['pav', 'aloo', 'peanut', 'pomegranate', 'star anise']","kutchi dabeli pav, aloo, peanut, pomegranate, star anise gujarat spicy"
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,balanced,snack,maharashtra,west,5,60,4.7,slow,"['urad dal', 'bhuna chana', 'garam masala', 'dates', 'tamarind']","dahi vada urad dal, bhuna chana, garam masala, dates, tamarind maharashtra balanced"
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,balanced,main course,maharashtra,west,5,25,2.9,quick,"['arhar dal', 'coconut oil', 'curry leaves', 'mustard seeds', 'red chilli']","dalithoy arhar dal, coconut oil, curry leaves, mustard seeds, red chilli maharashtra balanced"
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,gujarat,west,5,30,3.2,medium,"['rava', 'coconut', 'gram flour', 'mustard', 'sesame']","dhokla rava, coconut, gram flour, mustard, sesame gujarat spicy"
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,gujarat,west,5,45,3.9,medium,"['bottle gourd', 'green', 'raisins', 'sugar', 'clarified butter']","dudhi halwa bottle gourd, green, raisins, sugar, clarified butter gujarat sweet"
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,rajasthan,west,5,30,3.2,medium,"['yogurt', 'besan', 'sauce', 'garam masala powder', 'gram flour']","gatta curry yogurt, besan, sauce, garam masala powder, gram flour rajasthan spicy"
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,gujarat,west,4,30,2.8,medium,"['wheat flour', 'jaggery', 'clarified butter', 'sliced almonds']","gud papdi wheat flour, jaggery, clarified butter, sliced almonds gujarat sweet"
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,10,30,spicy,snack,gujarat,west,3,40,3,medium,"['dry fruits', 'semolina', 'all purpose flour']","ghooghra dry fruits, semolina, all purpose flour gujarat spicy"
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,gujarat,west,5,50,4.2,medium,"['bottle gourd', 'chana dal', 'cabbage', 'urad dal', 'toor dal']","handwo bottle gourd, chana dal, cabbage, urad dal, toor dal gujarat spicy"
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,10,30,sweet,dessert,gujarat,west,5,40,3.7,medium,"['whole wheat rava', 'chia seed', 'lemon', 'edible gum', 'litre milk']","halvasan whole wheat rava, chia seed, lemon, edible gum, litre milk gujarat sweet"
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,gujarat,west,4,40,3.3,medium,"['green chilies', 'lemon juice', 'chili powder', 'boiled potatoes']","jeera aloo green chilies, lemon juice, chili powder, boiled potatoes gujarat spicy"
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,10,40,balanced,main course,gujarat,west,3,50,3.5,medium,"['wheat flour', 'cashews', 'rapeseed oil']","kansar wheat flour, cashews, rapeseed oil gujarat balanced"
Keri no ras,"Mango, sugar",vegetarian,10,10,sour,main course,gujarat,west,2,20,1.7,quick,"['mango', 'sugar']","keri no ras mango, sugar gujarat sour"
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,gujarat,west,3,60,4,slow,"['whole wheat flour', 'low fat', 'bengal gram flour']","khakhra whole wheat flour, low fat, bengal gram flour gujarat spicy"
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,gujarat,west,5,65,4.9,slow,"['green chili paste', 'white sesame seeds', 'gram flour', 'curry leaves', 'green chili']","khandvi green chili paste, white sesame seeds, gram flour, curry leaves, green chili gujarat spicy"
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,maharashtra,west,5,35,3.4,medium,"['rice flour', 'urad dal', 'wheat flour', 'gram flour', 'turmeric']","kombdi vade rice flour, urad dal, wheat flour, gram flour, turmeric maharashtra spicy"
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,madhya pradesh,central,4,50,3.8,medium,"['cinnamon', 'jaggery', 'clarified butter', 'dry roasted']","laapsi cinnamon, jaggery, clarified butter, dry roasted madhya pradesh spicy"
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,maharashtra,west,4,20,2.3,quick,"['cucumber', 'carrot', 'tomatoes', 'cilantro']","koshimbir cucumber, carrot, tomatoes, cilantro maharashtra spicy"
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,gujarat,west,5,45,3.9,medium,"['rava', 'gram flour', 'lemon juice', 'turmeric', 'fenugreek leaves']","methi na gota rava, gram flour, lemon juice, turmeric, fenugreek leaves gujarat bitter"
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,sweet,dessert,gujarat,west,5,50,4.2,medium,"['rose water', 'pistachio', 'badam', 'bengal gram flour', 'saffron']","mohanthal rose water, pistachio, badam, bengal gram flour, saffron gujarat sweet"
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,gujarat,west,5,45,3.9,medium,"['bottle gourd', 'whole wheat flour', 'rava', 'sesame seeds', 'bengal gram flour']","muthiya bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour gujarat bitter"
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,gujarat,west,5,50,4.2,medium,"['arbi ke patte', 'sesame seeds', 'gur', 'bengal gram flour', 'imli']","patra arbi ke patte, sesame seeds, gur, bengal gram flour, imli gujarat spicy"
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,maharashtra,west,5,60,4.7,slow,"['pav bhaji masala', 'gobi', 'potatoes', 'green peas', 'dinner rolls']","pav bhaji pav bhaji masala, gobi, potatoes, green peas, dinner rolls maharashtra spicy"
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,maharashtra,west,5,40,3.7,medium,"['aloo', 'urad dal', 'mustard', 'ginger', 'curry leaves']","puri bhaji aloo, urad dal, mustard, ginger, curry leaves maharashtra spicy"
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,maharashtra,west,6,100,7,slow,"['raw peanuts', 'sabudana', 'lemon', 'avocado oil', 'curry leaves', 'green chili']","sabudana khichadi raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili maharashtra spicy"
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,gujarat,west,5,50,4.2,medium,"['khaman', 'pomegranate', 'sev', 'powdered sugar', 'garlic']","sev khamani khaman, pomegranate, sev, powdered sugar, garlic gujarat spicy"
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,gujarat,west,4,50,3.8,medium,"['sev', 'ginger', 'tomato', 'sugar']","sev tameta sev, ginger, tomato, sugar gujarat spicy"
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,gujarat,west,5,45,3.9,medium,"['wheat flour', 'baking soda', 'all purpose flour', 'black pepper', 'sunflower oil']","namakpara wheat flour, baking soda, all purpose flour, black pepper, sunflower oil gujarat spicy"
